OPEID6,Institution,City,County,Region,Predominant Award,Sector,Undergraduate Degree-seeking students,ZIP,Latitude,Longitude,Median Earnings 10 Years After Enrollment,Annual Net Price
8071,Concorde Career College-Garden Grove,Garden Grove,Orange,Orange,Certificate,Private for-profit,202,92840-9201,33.774741,-117.938395,45711,22610
8073,Butte College,Oroville,Butte,Upper Sacramento Valley,Associate's,Public,8384,95965-8399,39.649782,-121.644831,41810,4632
8221,Universal Technical Institute-Southern California,Long Beach,Los Angeles,Los Angeles,Associate's,Private for-profit,1447,90808-1789,33.826017,-118.145393,52873,24867
8221,Universal Technical Institute of California Inc,Rancho Cucamonga,San Bernardino,Inland Empire,Associate's,Private for-profit,1484,91730-0000,34.082782,-117.576366,52873,23526
8537,Concorde Career College-San Bernardino,San Bernardino,San Bernardino,Inland Empire,Certificate,Private for-profit,260,92408-3403,34.066823,-117.283995,39993,23161
8596,West Los Angeles College,Culver City,Los Angeles,Los Angeles,Associate's,Public,7277,90230-3519,34.004512,-118.386664,38537,7131
8597,Feather River Community College District,Quincy,Plumas,North-Far North,Associate's,Public,1574,95971-9124,39.953101,-120.973067,38142,6520
8903,College of the Canyons,Santa Clarita,Los Angeles,Los Angeles,Associate's,Public,15365,91355-1899,34.403993,-118.568698,49022,2114
8918,Saddleback College,Mission Viejo,Orange,Orange,Associate's,Public,15959,92692-3635,33.553346,-117.665584,50874,2976
9022,Associated Technical College-Los Angeles,Los Angeles,Los Angeles,Los Angeles,Certificate,Private for-profit,159,90017-1604,34.056102,-118.272364,24368,22236
9272,Crafton Hills College,Yucaipa,San Bernardino,Inland Empire,Associate's,Public,5074,92339-1799,34.039178,-117.101173,42553,10655
9509,Charles A Jones Career and Education Center,Sacramento,Sacramento,Sacramento-Tahoe,Certificate,Public,90,95824-1529,38.516233,-121.440796,41047,15980
9748,Carrington College-San Leandro Campus,San Leandro,Alameda,Bay Area,Certificate,Private for-profit,400,94578-3711,37.699627,-122.12567,39633,32368
9748,Carrington College-Stockton,Stockton,San Joaquin,San Joaquin Valley,Certificate,Private for-profit,429,95207-5509,37.998992,-121.323199,39633,30387
9748,Carrington College-Pleasant Hill Campus,Pleasant Hill,Contra Costa,Bay Area,Certificate,Private for-profit,430,94523-1984,37.962649,-122.072153,39633,30749
9748,Carrington College-San Jose,San Jose,Santa Clara,Bay Area,Certificate,Private for-profit,680,95138,37.248411,-121.777062,39633,31043
9748,Carrington College-Sacramento,Sacramento,Sacramento,Sacramento-Tahoe,Certificate,Private for-profit,2262,95826,38.556104,-121.371383,39633,37143
10111,Cerro Coso Community College,Ridgecrest,Kern,San Joaquin Valley,Associate's,Public,3496,93555-9571,35.567525,-117.66767,34963,6078
10340,Los Medanos College,Pittsburg,Contra Costa,Bay Area,Associate's,Public,7100,94565,38.006474,-121.860967,42454,5692
11112,FIDM-Fashion Institute of Design & Merchandising,Los Angeles,Los Angeles,Los Angeles,Associate's,Private for-profit,1319,90015-1421,34.044209,-118.25993,49840,41493
11672,Mendocino College,Ukiah,Mendocino,North-Far North,Associate's,Public,2857,95482,39.188989,-123.228809,40243,7500
11707,North-West College-Glendale,Glendale,Los Angeles,Los Angeles,Certificate,Private for-profit,100,91203,34.148981,-118.255462,37542,34899
11707,North-West College-West Covina,West Covina,Los Angeles,Los Angeles,Certificate,Private for-profit,635,91790,34.072071,-117.949583,37542,28408
11820,San Diego Miramar College,San Diego,San Diego,San Diego,Associate's,Public,10740,92126-2999,32.909757,-117.120261,48224,2735
11865,California Hair Design Academy,La Mesa,San Diego,San Diego,Certificate,Private for-profit,125,91942-5055,32.765221,-117.024261,19347,40350
11866,Lu Ross Academy,Ventura,Ventura,Central Coast,Certificate,Private for-profit,277,93001-2729,34.278034,-119.293952,23148,15711
12026,Bellus Academy-El Cajon,El Cajon,San Diego,San Diego,Certificate,Private for-profit,205,92021,32.794072,-116.94627,30807,29547
12446,Universal College of Beauty Inc-Los Angeles 2,Los Angeles,Los Angeles,Los Angeles,Certificate,Private for-profit,38,90008,34.004498,-118.332236,17821,18591
12452,Evergreen Valley College,San Jose,Santa Clara,Bay Area,Associate's,Public,7670,95135-1598,37.30167,-121.76561,53077,12591
12550,Los Angeles Mission College,Sylmar,Los Angeles,Los Angeles,Associate's,Public,8031,91342-3200,34.314668,-118.4195,39834,11972
12842,Oxnard College,Oxnard,Ventura,Central Coast,Associate's,Public,6059,93033-6699,34.166104,-119.157604,41393,659
12872,North-West College-Riverside,Riverside,Riverside,Inland Empire,Certificate,Private for-profit,680,92503,33.9145,-117.485881,39876,29106
12872,North-West College-Pomona,Pomona,Los Angeles,Los Angeles,Certificate,Private for-profit,315,91768,34.062043,-117.751227,39876,33256
12872,North-West College-Long Beach,Long Beach,Los Angeles,Los Angeles,Certificate,Private for-profit,576,90815-1770,33.801894,-118.14854,39876,32474
12872,North-West College-Anaheim,Anaheim,Orange,Orange,Certificate,Private for-profit,455,92801,33.839313,-117.959766,39876,31140
