UNITID,OPEID6,Institution,City,County,Region,Sector,Predominant Award,COUNTYFIP,median_earnings_10yr,hs_median_income,Annual Net Price,total_net_price,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change
121044,1261,Pasadena City College,Pasadena,Los Angeles,Los Angeles,Public,Associate's,37,43937,23598.0,3123,6246,11461.0,20339.0,0.5449786231567926,0.30709474408771326,25,23,2
122977,1286,Santa Monica College,Santa Monica,Los Angeles,Los Angeles,Public,Associate's,37,42193,23598.0,3600,7200,9717.0,18595.0,0.7409694350108058,0.38720086044635654,38,29,9
112172,1166,Citrus College,Glendora,Los Angeles,Los Angeles,Public,Certificate,37,42065,23598.0,3800,7600,9589.0,18467.0,0.7925748253206799,0.4115449179617696,40,32,8
113980,1197,El Camino Community College District,Torrance,Los Angeles,Los Angeles,Public,Associate's,37,41589,23598.0,5170,10340,9113.0,17991.0,1.1346428179523758,0.5747318103496193,54,51,3
383084,5655,Hacienda La Puente Adult Education,La Puente,Los Angeles,Los Angeles,Public,Certificate,37,39271,23598.0,4211,8422,6795.0,15673.0,1.23944076526858,0.537357238563134,58,48,10
117645,1219,Long Beach City College,Long Beach,Los Angeles,Los Angeles,Public,Certificate,37,38870,23598.0,5001,10002,6394.0,15272.0,1.56427901157335,0.6549240440020954,64,63,1
115001,1203,Glendale Community College,Glendale,Los Angeles,Los Angeles,Public,Associate's,37,41540,23598.0,7461,14922,9064.0,17942.0,1.6462930273609886,0.8316798573180247,68,67,1
371690,5638,Downey Adult School,Downey,Los Angeles,Los Angeles,Public,Certificate,37,46851,23598.0,13102,26204,14375.0,23253.0,1.8228869565217392,1.1269083559110653,73,79,-6
117706,1226,Los Angeles Pierce College,Woodland Hills,Los Angeles,Los Angeles,Public,Associate's,37,44521,23598.0,11196,22392,12045.0,20923.0,1.8590286425902864,1.0702098169478564,75,77,-2
121886,1269,Rio Hondo College,Whittier,Los Angeles,Los Angeles,Public,Associate's,37,44950,23598.0,11903,23806,12474.0,21352.0,1.9084495751162418,1.1149306856500563,77,78,-1
117733,1228,Los Angeles Valley College,Valley Glen,Los Angeles,Los Angeles,Public,Associate's,37,42678,23598.0,10200,20400,10202.0,19080.0,1.999607920015683,1.069182389937107,81,76,5
113856,22260,East Los Angeles College,Monterey Park,Los Angeles,Los Angeles,Public,Associate's,37,42006,23598.0,9791,19582,9530.0,18408.0,2.0547743966421828,1.0637766188613647,84,74,10
125471,8596,West Los Angeles College,Culver City,Los Angeles,Los Angeles,Public,Associate's,37,38537,23598.0,7131,14262,6061.0,14939.0,2.3530770499917506,0.9546823749916327,91,69,22
117690,1224,Los Angeles Harbor College,Wilmington,Los Angeles,Los Angeles,Public,Associate's,37,41133,23598.0,11245,22490,8657.0,17535.0,2.5978976550768165,1.2825777017393785,95,90,5
117867,12550,Los Angeles Mission College,Sylmar,Los Angeles,Los Angeles,Public,Associate's,37,39834,23598.0,11972,23944,7358.0,16236.0,3.254145148138081,1.4747474747474747,100,93,7
117788,1223,Los Angeles City College,Los Angeles,Los Angeles,Los Angeles,Public,Associate's,37,36190,23598.0,7532,15064,3714.0,12592.0,4.056004308023694,1.196315120711563,106,84,22
109350,1113,Antelope Valley Community College District,Lancaster,Los Angeles,Los Angeles,Public,Associate's,37,36526,23598.0,8263,16526,4050.0,12928.0,4.080493827160494,1.2783106435643565,107,89,18
372082,30296,Pomona Unified School District Adult and Career Education,Pomona,Los Angeles,Los Angeles,Public,Certificate,37,34849,23598.0,6005,12010,2373.0,11251.0,5.06110408765276,1.0674606701626521,111,75,36
117724,1227,Los Angeles Trade Technical College,Los Angeles,Los Angeles,Los Angeles,Public,Certificate,37,35233,23598.0,10658,21316,2757.0,11635.0,7.731592310482409,1.8320584443489472,115,102,13
112686,42817,Compton College,Compton,Los Angeles,Los Angeles,Public,Associate's,37,34181,23598.0,11103,22206,1705.0,10583.0,13.024046920821114,2.098270811679108,117,108,9
417105,30674,Baldwin Park Adult & Community Education,Baldwin Park,Los Angeles,Los Angeles,Public,Certificate,37,32069,23598.0,7450,14900,-407.0,8471.0,,1.7589422736394758,119,99,20
117715,7047,Los Angeles Southwest College,Los Angeles,Los Angeles,Los Angeles,Public,Associate's,37,32172,23598.0,6683,13366,-304.0,8574.0,,1.5588989969675764,119,95,24
123299,1289,Shasta College,Redding,Shasta,North-Far North,Public,Associate's,89,39269,23598.0,3743,7486,6793.0,15671.0,1.1020167819814515,0.4776976580945696,53,42,11
121707,1185,College of the Redwoods,Eureka,Humboldt,North-Far North,Public,Associate's,23,36243,22510.0,3214,6428,3767.0,13733.0,1.7063976639235465,0.46806961334012964,71,41,30
118684,11672,Mendocino College,Ukiah,Mendocino,North-Far North,Public,Associate's,45,40243,,7500,15000,7767.0,,1.9312475859405176,,78,114,-36
123484,1187,College of the Siskiyous,Weed,Siskiyou,North-Far North,Public,Associate's,93,39098,,7241,14482,6622.0,,2.1869525823014193,,87,114,-27
114433,8597,Feather River Community College District,Quincy,Plumas,North-Far North,Public,Associate's,63,38142,,6520,13040,5666.0,,2.301447229085775,,90,114,-24
117274,1217,Lassen Community College,Susanville,Lassen,North-Far North,Public,Associate's,35,35994,,7677,15354,3518.0,,4.364411597498579,,108,114,-6
116439,25395,Irvine Valley College,Irvine,Orange,Orange,Public,Associate's,59,49156,28000.0,1886,3772,16680.0,21156.0,0.22613908872901678,0.17829457364341086,13,15,-2
122205,8918,Saddleback College,Mission Viejo,Orange,Orange,Public,Associate's,59,50874,28000.0,2976,5952,18398.0,22874.0,0.3235134253723231,0.26020809652881,17,19,-2
115126,1206,Golden West College,Huntington Beach,Orange,Orange,Public,Associate's,59,43145,28000.0,2861,5722,10669.0,15145.0,0.5363201799606336,0.3778144602178937,24,27,-3
399212,36957,Santiago Canyon College,Orange,Orange,Orange,Public,Certificate,59,44956,28000.0,3407,6814,12480.0,16956.0,0.5459935897435897,0.401863647086577,26,30,-4
120342,1250,Orange Coast College,Costa Mesa,Orange,Orange,Public,Certificate,59,47348,28000.0,4754,9508,14872.0,19348.0,0.6393222162452932,0.4914203018399835,30,43,-13
121619,1284,Santa Ana College,Santa Ana,Orange,Orange,Public,Certificate,59,43552,28000.0,3854,7708,11076.0,15552.0,0.6959191043698086,0.4956275720164609,34,44,-10
113236,1193,Cypress College,Cypress,Orange,Orange,Public,Certificate,59,43533,28000.0,4683,9366,11057.0,15533.0,0.8470652075608212,0.6029743127534926,43,54,-11
114859,1201,Fullerton College,Fullerton,Orange,Orange,Public,Associate's,59,43366,28000.0,8090,16180,10890.0,15366.0,1.4857667584940313,1.0529740986593779,62,73,-11
112385,20635,Coastline Community College,Fountain Valley,Orange,Orange,Public,Associate's,59,44483,28000.0,9605,19210,12007.0,16483.0,1.5999000582993255,1.1654431838864285,67,83,-16
123341,1290,Sierra College,Rocklin,Placer,Sacramento-Tahoe,Public,Associate's,61,45294,25000.0,4462,8924,12818.0,20294.0,0.6962084568575441,0.43973588252685525,35,36,-1
444219,38713,Folsom Lake College,Folsom,Sacramento,Sacramento-Tahoe,Public,Associate's,67,42568,25000.0,3661,7322,10092.0,17568.0,0.7255251684502576,0.4167805100182149,37,33,4
122180,1233,Sacramento City College,Sacramento,Sacramento,Sacramento-Tahoe,Public,Associate's,67,42214,25000.0,3974,7948,9738.0,17214.0,0.8161840213596221,0.4617172069245963,41,38,3
113096,7536,Cosumnes River College,Sacramento,Sacramento,Sacramento-Tahoe,Public,Associate's,67,42446,25000.0,4648,9296,9970.0,17446.0,0.9323971915747242,0.5328442049753526,45,47,-2
126119,1344,Yuba College,Marysville,Yuba,Sacramento-Tahoe,Public,Associate's,115,39552,,3573,7146,7076.0,,1.0098925946862634,,48,114,-66
455512,41438,Woodland Community College,Woodland,Yolo,Sacramento-Tahoe,Public,Associate's,113,40042,22418.0,4097,8194,7566.0,17624.0,1.0830029077451757,0.4649341806627326,50,39,11
109208,1232,American River College,Sacramento,Sacramento,Sacramento-Tahoe,Public,Associate's,67,40162,25000.0,4628,9256,7686.0,15162.0,1.2042674993494666,0.6104735523018071,56,56,0
123493,9509,Charles A Jones Career and Education Center,Sacramento,Sacramento,Sacramento-Tahoe,Public,Certificate,67,41047,25000.0,15980,31960,8571.0,16047.0,3.7288531093221327,1.991649529507073,105,106,-1
