UNITID,OPEID6,Institution,City,County,Region,Regional Rank,Predominant Award,Sector,Undergraduate Degree-seeking students,ROI: Years to Recoup Net Costs,Median Earnings 10 Years After Enrollment,Earnings Above High School Graduate,Annual Net Price,Total Net Price (Based off of Predominant Credential),ZIP,Latitude,Longitude
115357,22110,Salon Success Academy-Riverside,Riverside,Riverside,Inland Empire,19,Certificate,Private for-profit,173,No Economic ROI,"$21,777","-$10,699","$13,095","$13,095",92506,33.943149,-117.391024
113449,39644,International School of Beauty Inc,Palm Desert,Riverside,Inland Empire,19,Certificate,Private for-profit,173,No Economic ROI,"$19,799","-$12,677","$13,450","$13,450",92260-2740,33.729555,-116.403928
485412,41153,Coachella Valley Beauty College-Hemet,Hemet,Riverside,Inland Empire,19,Certificate,Private for-profit,101,No Economic ROI,"$19,665","-$12,811","$15,776","$15,776",92545,33.745675,-117.010783
449393,41153,Coachella Valley Beauty College,La Quinta,Riverside,Inland Empire,19,Certificate,Private for-profit,88,No Economic ROI,"$19,665","-$12,811","$16,812","$16,812",92253,33.708193,-116.278254
461607,41754,Elite Cosmetology School,PALM DESERT,Riverside,Inland Empire,19,Certificate,Private for-profit,123,No Economic ROI,"$17,966","-$14,510","$17,818","$17,818",92260,33.723624,-116.394724
384236,25593,UEI College-Ontario,Ontario,San Bernardino,Inland Empire,19,Certificate,Private for-profit,930,No Economic ROI,"$31,141","-$1,335","$25,076","$25,076",91764-5574,34.0694,-117.547733
121859,7203,Salon Success Academy-Upland,Upland,San Bernardino,Inland Empire,19,Certificate,Private for-profit,238,No Economic ROI,"$26,956","-$5,520","$16,626","$16,626",91786,34.108247,-117.631783
456588,13095,Salon Success Academy-Fontana,Fontana,San Bernardino,Inland Empire,19,Certificate,Private for-profit,34,No Economic ROI,"$22,412","-$10,064","$10,813","$10,813",92335,34.099087,-117.437904
456597,13095,Salon Success Academy-Redlands,Redlands,San Bernardino,Inland Empire,19,Certificate,Private for-profit,259,No Economic ROI,"$22,412","-$10,064","$14,662","$14,662",92373,34.062342,-117.218933
125082,21282,Bridges Beauty College,Victorville,San Bernardino,Inland Empire,19,Certificate,Private for-profit,80,No Economic ROI,"$17,287","-$15,189","$20,849","$20,849",92395-3821,34.528602,-117.303933
457086,41497,Homestead Schools,Torrance,Los Angeles,Los Angeles,1,Certificate,Private non-profit,176,0.6,"$59,398","$26,922","$15,845","$15,845",90505,33.809096,-118.35009
454801,41442,Career Development Institute Inc,Los Angeles,Los Angeles,Los Angeles,2,Certificate,Private for-profit,168,0.7,"$62,209","$29,733","$21,412","$21,412",90035,34.045817,-118.386067
457314,41644,Angeles Institute,ARTESIA,Los Angeles,Los Angeles,3,Certificate,Private for-profit,132,0.8,"$61,195","$28,719","$23,161","$23,161",90701-2713,33.875772,-118.080741
411684,34404,Marian Health Careers Center-Los Angeles Campus,Los Angeles,Los Angeles,Los Angeles,4,Certificate,Private for-profit,154,1.0,"$63,612","$31,136","$30,387","$30,387",90010,34.062096,-118.295073
413680,25964,Spartan College of Aeronautics & Technology,Inglewood,Los Angeles,Los Angeles,5,Certificate,Private for-profit,319,1.0,"$61,575","$29,099","$30,099","$30,099",90301-2904,33.956018,-118.377744
475282,34404,Marian Health Careers Center-Van Nuys Campus,Van Nuys,Los Angeles,Los Angeles,6,Certificate,Private for-profit,88,1.0,"$63,612","$31,136","$32,543","$32,543",91411,34.177483,-118.465561
117672,1229,Southern California University of Health Sciences,Whittier,Los Angeles,Los Angeles,7,Certificate,Private non-profit,132,1.2,"$70,649","$38,173","$45,633","$45,633",90604,33.922966,-117.983401
124937,7607,Concorde Career College-North Hollywood,North Hollywood,Los Angeles,Los Angeles,8,Certificate,Private for-profit,143,1.3,"$50,552","$18,076","$23,584","$23,584",91606-3134,34.186407,-118.403627
457299,41604,Angeles College,Los Angeles,Los Angeles,Los Angeles,9,Certificate,Private for-profit,484,1.6,"$49,108","$16,632","$25,805","$25,805",90010,34.061223,-118.29903
443207,35904,NTMA Training Centers of Southern California,Santa Fe Springs,Los Angeles,Los Angeles,10,Certificate,Private non-profit,64,1.7,"$45,713","$13,237","$22,219","$22,219",90670,33.94302,-118.074231
487597,8221,Universal Technical Institute-Southern California,Long Beach,Los Angeles,Los Angeles,11,Associate's,Private for-profit,"1,447",2.4,"$52,873","$20,397","$24,867","$49,734",90808-1789,33.826017,-118.145393
416458,31258,Premiere Career College,Irwindale,Los Angeles,Los Angeles,12,Certificate,Private for-profit,106,2.6,"$41,270","$8,794","$23,214","$23,214",91706-3746,34.079755,-117.990894
441229,36393,Smith Chason College,Los Angeles,Los Angeles,Los Angeles,13,Associate's,Private for-profit,"2,221",2.7,"$58,004","$25,528","$34,402","$68,804",90010,34.061409,-118.302836
111638,6731,Casa Loma College-Los Angeles,Sherman Oaks,Los Angeles,Los Angeles,14,Associate's,Private non-profit,581,3.2,"$49,854","$17,378","$27,721","$55,442",91403,34.155096,-118.466548
481775,21207,San Joaquin Valley College-Lancaster,Lancaster,Los Angeles,Los Angeles,15,Certificate,Private for-profit,239,4.1,"$38,317","$5,841","$23,940","$23,940",93534-7018,34.648563,-118.148431
444325,37404,ATI College-Whittier,Whitter,Los Angeles,Los Angeles,16,Certificate,Private for-profit,141,4.1,"$38,938","$6,462","$26,689","$26,689",90603-0000,33.948364,-118.003687
484376,12872,North-West College-Long Beach,Long Beach,Los Angeles,Los Angeles,17,Certificate,Private for-profit,576,4.4,"$39,876","$7,400","$32,474","$32,474",90815-1770,33.801894,-118.14854
449445,41145,Valley College of Medical Careers,West Hills,Los Angeles,Los Angeles,18,Certificate,Private for-profit,57,4.4,"$37,453","$4,977","$21,967","$21,967",91304,34.221839,-118.606731
120069,12872,North-West College-Pomona,Pomona,Los Angeles,Los Angeles,19,Certificate,Private for-profit,315,4.5,"$39,876","$7,400","$33,256","$33,256",91768,34.062043,-117.751227
109040,22418,American Career College-Los Angeles,Los Angeles,Los Angeles,Los Angeles,20,Certificate,Private for-profit,"2,066",4.6,"$38,430","$5,954","$27,508","$27,508",90004,34.079323,-118.292481
114354,11112,FIDM-Fashion Institute of Design & Merchandising,Los Angeles,Los Angeles,Los Angeles,21,Associate's,Private for-profit,"1,319",4.8,"$49,840","$17,364","$41,493","$82,986",90015-1421,34.044209,-118.25993
120078,11707,North-West College-West Covina,West Covina,Los Angeles,Los Angeles,22,Certificate,Private for-profit,635,5.6,"$37,542","$5,066","$28,408","$28,408",91790,34.072071,-117.949583
446118,37974,Career Care Institute,Lancaster,Los Angeles,Los Angeles,23,Certificate,Private for-profit,649,6.2,"$39,888","$7,412","$45,587","$45,587",93534,34.678236,-118.15638
377759,30199,Capstone College,Pasadena,Los Angeles,Los Angeles,24,Certificate,Private for-profit,140,6.3,"$35,348","$2,872","$18,047","$18,047",91103,34.165741,-118.149478
443571,25594,InterCoast Colleges-West Covina,West Covina,Los Angeles,Los Angeles,25,Certificate,Private for-profit,507,6.6,"$36,089","$3,613","$23,693","$23,693",91791,34.073357,-117.897148
260789,30627,Platt College-Los Angeles,Alhambra,Los Angeles,Los Angeles,26,Associate's,Private for-profit,598,6.8,"$40,669","$8,193","$28,014","$56,028",91803,34.081723,-118.150013
372028,11707,North-West College-Glendale,Glendale,Los Angeles,Los Angeles,27,Certificate,Private for-profit,100,6.9,"$37,542","$5,066","$34,899","$34,899",91203,34.148981,-118.255462
454722,41324,Academy of Esthetics and Cosmetology,San Fernando,Los Angeles,Los Angeles,28,Certificate,Private for-profit,28,7.1,"$35,089","$2,613","$18,458","$18,458",91340-3212,34.285043,-118.444228
447722,40144,Palladium Technical Academy Inc,Temple City,Los Angeles,Los Angeles,29,Certificate,Private for-profit,45,7.2,"$34,799","$2,323","$16,761","$16,761",91780,34.091838,-118.04358
439367,32503,CBD College,Los Angeles,Los Angeles,Los Angeles,30,Associate's,Private non-profit,"1,408",8.9,"$37,237","$4,761","$21,100","$42,200",90010,34.06231,-118.306221
372073,30399,Fremont University,Cerritos,Los Angeles,Los Angeles,31,Associate's,Private for-profit,153,9.9,"$39,003","$6,527","$32,256","$64,512",90703,33.868382,-118.097019
115010,23385,Glendale Career College,Glendale,Los Angeles,Los Angeles,32,Associate's,Private for-profit,854,10.3,"$41,472","$8,996","$46,212","$92,424",91203,34.149771,-118.254719
461856,41812,Southern California Health Institute,North Hollywood,Los Angeles,Los Angeles,33,Certificate,Private for-profit,69,12.8,"$34,558","$2,082","$26,692","$26,692",91601,34.173485,-118.370014
439871,34793,PCI College,Cerritos,Los Angeles,Los Angeles,34,Associate's,Private for-profit,168,13.1,"$36,141","$3,665","$24,046","$48,092",90703,33.87475,-118.100169
450960,41327,Healthcare Career College,Paramount,Los Angeles,Los Angeles,35,Certificate,Private for-profit,381,106.1,"$32,613",$137,"$14,534","$14,534",90723-5258,33.889719,-118.149645
119270,21618,Musicians Institute,Hollywood,Los Angeles,Los Angeles,36,Certificate,Private for-profit,735,125.1,"$32,778",$302,"$37,793","$37,793",90028,34.101265,-118.337582
120087,25916,North-West College-Van Nuys,Van Nuys,Los Angeles,Los Angeles,37,Certificate,Private for-profit,225,2788.7,"$32,488",$12,"$33,464","$33,464",91411,34.189497,-118.450184
447616,25593,UEI College-West Covina,West Covina,Los Angeles,Los Angeles,38,Certificate,Private for-profit,"1,022",No Economic ROI,"$31,141","-$1,335","$25,924","$25,924",91731-2806,34.075984,-117.90946
384245,25593,UEI College-Reseda,Reseda,Los Angeles,Los Angeles,38,Certificate,Private for-profit,"1,056",No Economic ROI,"$31,141","-$1,335","$25,949","$25,949",91335-4631,34.200881,-118.526784
124681,25593,UEI College-Huntington Park,Huntington Park,Los Angeles,Los Angeles,38,Certificate,Private for-profit,"1,036",No Economic ROI,"$31,141","-$1,335","$26,959","$26,959",90255-2933,33.986057,-118.226206
483009,31444,American College of Healthcare and Technology,Huntington Park,Los Angeles,Los Angeles,38,Certificate,Private for-profit,155,No Economic ROI,"$31,109","-$1,367","$12,483","$12,483",90255,33.98271,-118.224752
393649,39696,UEI College-Gardena,Gardena,Los Angeles,Los Angeles,38,Certificate,Private for-profit,"1,444",No Economic ROI,"$30,848","-$1,628","$26,611","$26,611",90247-4201,33.893016,-118.287234
447759,39104,National Polytechnic College,Lakewood,Los Angeles,Los Angeles,38,Associate's,Private for-profit,299,No Economic ROI,"$30,781","-$1,695","$31,626","$63,252",90712,33.860528,-118.143809
461263,41597,American Medical Sciences Center,Glendale,Los Angeles,Los Angeles,38,Associate's,Private for-profit,200,No Economic ROI,"$29,972","-$2,504","$23,566","$47,132",91204-5108,34.147117,-118.256991
461148,41188,New York Film Academy,Burbank,Los Angeles,Los Angeles,38,Certificate,Private for-profit,965,No Economic ROI,"$29,633","-$2,843","$46,420","$46,420",91505,34.152076,-118.335567
108852,7465,American Academy of Dramatic Arts-Los Angeles,Los Angeles,Los Angeles,Los Angeles,38,Associate's,Private non-profit,169,No Economic ROI,"$27,019","-$5,457","$40,991","$81,982",90028,34.095378,-118.343701
492953,7203,Salon Success Academy-West Covina,West Covina,Los Angeles,Los Angeles,38,Certificate,Private for-profit,82,No Economic ROI,"$26,956","-$5,520","$16,649","$16,649",91790-2876,34.070568,-117.933801
449986,41582,Paul Mitchell the School-Sherman Oaks,Sherman Oaks,Los Angeles,Los Angeles,38,Certificate,Private for-profit,280,No Economic ROI,"$26,262","-$6,214","$26,369","$26,369",91403,34.154315,-118.467289
454768,41387,Paul Mitchell the School-Pasadena,Pasadena,Los Angeles,Los Angeles,38,Certificate,Private for-profit,200,No Economic ROI,"$25,845","-$6,631","$30,966","$30,966",91101,34.144765,-118.133403
395690,25536,Diversified Vocational College,Los Angeles,Los Angeles,Los Angeles,38,Certificate,Private for-profit,224,No Economic ROI,"$25,328","-$7,148","$21,444","$21,444",90017-1604,34.056102,-118.272364
442985,36813,California Healing Arts College,Carson,Los Angeles,Los Angeles,38,Certificate,Private for-profit,298,No Economic ROI,"$25,151","-$7,325","$19,024","$19,024",90746-7323,33.844718,-118.265919
457253,41482,Beyond 21st Century Beauty Academy,Santa Fe Springs,Los Angeles,Los Angeles,38,Certificate,Private for-profit,102,No Economic ROI,"$25,139","-$7,337","$19,155","$19,155",90670,33.916443,-118.041477
109721,9022,Associated Technical College-Los Angeles,Los Angeles,Los Angeles,Los Angeles,38,Certificate,Private for-profit,159,No Economic ROI,"$24,368","-$8,108","$22,236","$22,236",90017-1604,34.056102,-118.272364
368771,25459,Hypnosis Motivation Institute,Tarzana,Los Angeles,Los Angeles,38,Certificate,Private non-profit,335,No Economic ROI,"$24,244","-$8,232","$42,523","$42,523",91356-4159,34.170219,-118.538719
428125,31253,John Wesley International Barber and Beauty College,Long Beach,Los Angeles,Los Angeles,38,Certificate,Private for-profit,61,No Economic ROI,"$23,643","-$8,833","$12,735","$12,735",90813,33.778235,-118.18469
444510,36953,CES College,Burbank,Los Angeles,Los Angeles,38,Certificate,Private non-profit,106,No Economic ROI,"$22,916","-$9,560","$27,139","$27,139",91502-2750,34.180401,-118.303297
108977,13074,American Beauty College,West Covina,Los Angeles,Los Angeles,38,Certificate,Private for-profit,250,No Economic ROI,"$22,481","-$9,995","$24,076","$24,076",91790,34.069367,-117.936959
455868,41460,National Career College,Panorama City,Los Angeles,Los Angeles,38,Certificate,Private for-profit,366,No Economic ROI,"$19,347","-$13,129","$17,772","$17,772",91402,34.22245,-118.446211
372240,12446,Universal College of Beauty Inc-Los Angeles 2,Los Angeles,Los Angeles,Los Angeles,38,Certificate,Private for-profit,38,No Economic ROI,"$17,821","-$14,655","$18,591","$18,591",90008,34.004498,-118.332236
121433,12984,Professional Institute of Beauty,El Monte,Los Angeles,Los Angeles,38,Certificate,Private for-profit,90,No Economic ROI,"$16,886","-$15,590","$13,152","$13,152",91731,34.075561,-118.039028
447731,40013,Los Angeles College of Aesthetics,Los Angeles,Los Angeles,Los Angeles,38,Certificate,Private for-profit,101,No Economic ROI,"$16,540","-$15,936","$22,239","$22,239",90006,34.044739,-118.309491
117238,13010,Lancaster Beauty School,Lancaster,Los Angeles,Los Angeles,38,Certificate,Private for-profit,131,No Economic ROI,"$16,220","-$16,256","$21,235","$21,235",93534,34.694914,-118.147547
114761,22309,Fredrick and Charles Beauty College,Eureka,Humboldt,North-Far North,1,Certificate,Private for-profit,67,No Economic ROI,"$21,826","-$10,650","$14,402","$14,402",95501,40.798885,-124.164986
110194,25434,Brownson Technical School,Anaheim,Orange,Orange,1,Certificate,Private for-profit,284,0.9,"$68,767","$36,291","$32,584","$32,584",92805,33.819032,-117.905774
422695,32993,Pacific College,Costa Mesa,Orange,Orange,2,Associate's,Private for-profit,285,1.2,"$70,064","$37,588","$21,941","$43,882",92626-3402,33.680043,-117.873382
371928,30634,Modern Technology School,Fountain Valley,Orange,Orange,3,Certificate,Private for-profit,99,1.3,"$50,667","$18,191","$23,046","$23,046",92708-9821,33.723142,-117.918837
399869,31136,Southern California Institute of Technology,Anaheim,Orange,Orange,4,Certificate,Private for-profit,533,1.3,"$53,598","$21,122","$27,735","$27,735",92801-3758,33.8381,-117.950661
446561,38893,Stanbridge University,Irvine,Orange,Orange,5,Associate's,Private for-profit,"2,373",1.7,"$62,144","$29,668","$25,114","$50,228",92612,33.678879,-117.857636
123679,8071,Concorde Career College-Garden Grove,Garden Grove,Orange,Orange,6,Certificate,Private for-profit,202,1.7,"$45,711","$13,235","$22,610","$22,610",92840-9201,33.774741,-117.938395
123642,22774,South Coast College,Orange,Orange,Orange,7,Certificate,Private for-profit,241,1.8,"$44,897","$12,421","$22,480","$22,480",92868-2609,33.78818,-117.874031
484367,12872,North-West College-Anaheim,Anaheim,Orange,Orange,8,Certificate,Private for-profit,455,4.2,"$39,876","$7,400","$31,140","$31,140",92801,33.839313,-117.959766
433013,32423,Career Networks Institute,Santa Ana,Orange,Orange,9,Associate's,Private for-profit,971,4.4,"$45,256","$12,780","$28,292","$56,584",92705,33.721058,-117.8478
441052,22418,American Career College-Anaheim,Anaheim,Orange,Orange,10,Certificate,Private for-profit,"1,643",4.6,"$38,430","$5,954","$27,397","$27,397",92801-0000,33.849912,-117.975599
490878,30627,Platt College-Anaheim,Anaheim,Orange,Orange,11,Associate's,Private for-profit,405,6.3,"$40,669","$8,193","$25,680","$51,360",92806-5949,33.809417,-117.878211
468909,25593,UEI College-Garden Grove,Garden Grove,Orange,Orange,12,Certificate,Private for-profit,"1,093",No Economic ROI,"$31,141","-$1,335","$23,923","$23,923",92840-2409,33.801877,-117.943701
497736,31444,American College of Healthcare and Technology-Santa Ana,Santa Ana,Orange,Orange,12,Certificate,Private for-profit,85,No Economic ROI,"$31,109","-$1,367","$14,794","$14,794",92705-8680,33.759681,-117.840955
