UNITID,OPEID6,Institution,City,County,Region,Regional Rank,ROI: Years to Recoup Net Costs,Predominant Award,Sector,Undergraduate Degree-seeking students,Median Earnings 10 Years After Enrollment,Earnings Above High School Graduate,Annual Net Price,Total Net Price (Two Years),ZIP,Latitude,Longitude,VALUE,DENOM
113573,1182,College of the Desert,Palm Desert,Riverside,Inland Empire,10,3.6,Associate's,Public,"8,900","$39,020 ","$6,544 ","$11,812 ","$23,624 ",92260,33.732108,-116.388271,9468,12265
120953,1259,Palo Verde College,Blythe,Riverside,Inland Empire,11,5.4,Associate's,Public,"2,909","$36,389 ","$3,913 ","$10,543 ","$21,086 ",92225,33.661538,-114.651698,2927,3190
109907,1119,Barstow Community College,Barstow,San Bernardino,Inland Empire,12,9.4,Associate's,Public,"2,585","$35,104 ","$2,628 ","$12,347 ","$24,694 ",92311,34.870285,-117.023412,3663,4741
395362,35424,Copper Mountain Community College,Joshua Tree,San Bernardino,Inland Empire,13,19.8,Associate's,Public,"1,090","$33,281 ",$805 ,"$7,962 ","$15,924 ",92252,34.140464,-116.213939,1207,1398
111887,1161,Cerritos College,Norwalk,Los Angeles,Los Angeles,1,0.2,Certificate,Public,"18,710","$41,156 ","$8,680 ",$693 ,"$1,386 ",90650-6298,33.886874,-118.097337,18313,25553
111461,8903,College of the Canyons,Santa Clarita,Los Angeles,Los Angeles,2,0.3,Associate's,Public,"15,365","$49,022 ","$16,546 ","$2,114 ","$4,228 ",91355-1899,34.403993,-118.568698,10415,17998
119164,1245,Mt San Antonio College,Walnut,Los Angeles,Los Angeles,3,0.5,Associate's,Public,"25,311","$46,283 ","$13,807 ","$3,107 ","$6,214 ",91789-1399,34.047764,-117.846629,24699,53032
121044,1261,Pasadena City College,Pasadena,Los Angeles,Los Angeles,4,0.5,Associate's,Public,"20,624","$43,937 ","$11,461 ","$3,123 ","$6,246 ",91106-2003,34.144552,-118.118196,20373,29067
122977,1286,Santa Monica College,Santa Monica,Los Angeles,Los Angeles,5,0.7,Associate's,Public,"21,194","$42,193 ","$9,717 ","$3,600 ","$7,200 ",90405-1628,34.017022,-118.469765,20045,32595
112172,1166,Citrus College,Glendora,Los Angeles,Los Angeles,6,0.8,Certificate,Public,"8,126","$42,065 ","$9,589 ","$3,800 ","$7,600 ",91741-1899,34.13537,-117.886469,8519,11777
113980,1197,El Camino Community College District,Torrance,Los Angeles,Los Angeles,7,1.1,Associate's,Public,"18,994","$41,589 ","$9,113 ","$5,170 ","$10,340 ",90506,33.885229,-118.329913,16262,24815
383084,5655,Hacienda La Puente Adult Education,La Puente,Los Angeles,Los Angeles,8,1.2,Certificate,Public,496,"$39,271 ","$6,795 ","$4,211 ","$8,422 ",91746-0002,34.043301,-117.979139,,
117645,1219,Long Beach City College,Long Beach,Los Angeles,Los Angeles,9,1.6,Certificate,Public,"21,899","$38,870 ","$6,394 ","$5,001 ","$10,002 ",90808-1706,33.833593,-118.135633,22684,29298
115001,1203,Glendale Community College,Glendale,Los Angeles,Los Angeles,10,1.6,Associate's,Public,"9,807","$41,540 ","$9,064 ","$7,461 ","$14,922 ",91208-2894,34.16745,-118.227666,11601,19503
371690,5638,Downey Adult School,Downey,Los Angeles,Los Angeles,11,1.8,Certificate,Public,844,"$46,851 ","$14,375 ","$13,102 ","$26,204 ",90241,33.91965,-118.115727,,
117706,1226,Los Angeles Pierce College,Woodland Hills,Los Angeles,Los Angeles,12,1.9,Associate's,Public,"13,029","$44,521 ","$12,045 ","$11,196 ","$22,392 ",91371-0002,34.183949,-118.575071,16235,22691
121886,1269,Rio Hondo College,Whittier,Los Angeles,Los Angeles,13,1.9,Associate's,Public,"15,365","$44,950 ","$12,474 ","$11,903 ","$23,806 ",90601-1616,34.019821,-118.033506,17482,27039
117733,1228,Los Angeles Valley College,Valley Glen,Los Angeles,Los Angeles,14,2,Associate's,Public,"12,470","$42,678 ","$10,202 ","$10,200 ","$20,400 ",91401-4096,34.175165,-118.421734,17357,21942
113856,22260,East Los Angeles College,Monterey Park,Los Angeles,Los Angeles,15,2.1,Associate's,Public,"24,401","$42,006 ","$9,530 ","$9,791 ","$19,582 ",91754-6099,34.040531,-118.148785,32724,46499
125471,8596,West Los Angeles College,Culver City,Los Angeles,Los Angeles,16,2.4,Associate's,Public,"7,277","$38,537 ","$6,061 ","$7,131 ","$14,262 ",90230-3519,34.004512,-118.386664,12065,14984
117690,1224,Los Angeles Harbor College,Wilmington,Los Angeles,Los Angeles,17,2.6,Associate's,Public,"6,496","$41,133 ","$8,657 ","$11,245 ","$22,490 ",90744-2397,33.785825,-118.283549,10533,13171
117867,12550,Los Angeles Mission College,Sylmar,Los Angeles,Los Angeles,18,3.3,Associate's,Public,"8,031","$39,834 ","$7,358 ","$11,972 ","$23,944 ",91342-3200,34.314668,-118.4195,12543,15520
117788,1223,Los Angeles City College,Los Angeles,Los Angeles,Los Angeles,19,4.1,Associate's,Public,"10,857","$36,190 ","$3,714 ","$7,532 ","$15,064 ",90029,34.087301,-118.292169,16261,20743
109350,1113,Antelope Valley Community College District,Lancaster,Los Angeles,Los Angeles,20,4.1,Associate's,Public,"10,905","$36,526 ","$4,050 ","$8,263 ","$16,526 ",93536-5426,34.676207,-118.186166,12320,14010
372082,30296,Pomona Unified School District Adult and Career Education,Pomona,Los Angeles,Los Angeles,21,5.1,Certificate,Public,84,"$34,849 ","$2,373 ","$6,005 ","$12,010 ",91767,34.061736,-117.720478,,
117724,1227,Los Angeles Trade Technical College,Los Angeles,Los Angeles,Los Angeles,22,7.7,Certificate,Public,"10,165","$35,233 ","$2,757 ","$10,658 ","$21,316 ",90015-4181,34.031907,-118.269447,12017,14572
112686,42817,Compton College,Compton,Los Angeles,Los Angeles,23,13,Associate's,Public,"2,881","$34,181 ","$1,705 ","$11,103 ","$22,206 ",90221-5393,33.878226,-118.209463,3806,4976
417105,30674,Baldwin Park Adult & Community Education,Baldwin Park,Los Angeles,Los Angeles,24,No Economic ROI,Certificate,Public,435,"$32,069 ",($407),"$7,450 ","$14,900 ",91706-4221,34.09673,-117.959486,,
117715,7047,Los Angeles Southwest College,Los Angeles,Los Angeles,Los Angeles,25,No Economic ROI,Associate's,Public,"3,793","$32,172 ",($304),"$6,683 ","$13,366 ",90047-4899,33.929586,-118.304674,7159,8725
123299,1289,Shasta College,Redding,Shasta,North-Far North,1,1.1,Associate's,Public,"5,536","$39,269 ","$6,793 ","$3,743 ","$7,486 ",96003,40.625731,-122.317982,5576,7563
121707,1185,College of the Redwoods,Eureka,Humboldt,North-Far North,2,1.7,Associate's,Public,"3,514","$36,243 ","$3,767 ","$3,214 ","$6,428 ",95501-9300,40.698427,-124.195293,3914,4982
118684,11672,Mendocino College,Ukiah,Mendocino,North-Far North,3,1.9,Associate's,Public,"2,857","$40,243 ","$7,767 ","$7,500 ","$15,000 ",95482,39.188989,-123.228809,2666,4216
123484,1187,College of the Siskiyous,Weed,Siskiyou,North-Far North,4,2.2,Associate's,Public,"1,080","$39,098 ","$6,622 ","$7,241 ","$14,482 ",96094-2899,41.413005,-122.38909,1284,1833
114433,8597,Feather River Community College District,Quincy,Plumas,North-Far North,5,2.3,Associate's,Public,"1,574","$38,142 ","$5,666 ","$6,520 ","$13,040 ",95971-9124,39.953101,-120.973067,1796,2170
117274,1217,Lassen Community College,Susanville,Lassen,North-Far North,6,4.4,Associate's,Public,"1,564","$35,994 ","$3,518 ","$7,677 ","$15,354 ",96130,40.432053,-120.633271,1759,2355
116439,25395,Irvine Valley College,Irvine,Orange,Orange,1,0.2,Associate's,Public,"9,577","$49,156 ","$16,680 ","$1,886 ","$3,772 ",92618-0301,33.675381,-117.777539,7928,16773
122205,8918,Saddleback College,Mission Viejo,Orange,Orange,2,0.3,Associate's,Public,"15,959","$50,874 ","$18,398 ","$2,976 ","$5,952 ",92692-3635,33.553346,-117.665584,13887,30647
115126,1206,Golden West College,Huntington Beach,Orange,Orange,3,0.5,Associate's,Public,"8,919","$43,145 ","$10,669 ","$2,861 ","$5,722 ",92647-2710,33.732531,-118.002568,10952,16181
399212,36957,Santiago Canyon College,Orange,Orange,Orange,4,0.5,Certificate,Public,"10,613","$44,956 ","$12,480 ","$3,407 ","$6,814 ",92869-4512,33.795449,-117.766762,8629,16002
120342,1250,Orange Coast College,Costa Mesa,Orange,Orange,5,0.6,Certificate,Public,"16,117","$47,348 ","$14,872 ","$4,754 ","$9,508 ",92626,33.66927,-117.909086,14646,22001
121619,1284,Santa Ana College,Santa Ana,Orange,Orange,6,0.7,Certificate,Public,"22,011","$43,552 ","$11,076 ","$3,854 ","$7,708 ",92706-3398,33.759309,-117.887558,18369,32376
113236,1193,Cypress College,Cypress,Orange,Orange,7,0.8,Certificate,Public,"12,309","$43,533 ","$11,057 ","$4,683 ","$9,366 ",90630-5897,33.82833,-118.025143,12649,15440
114859,1201,Fullerton College,Fullerton,Orange,Orange,8,1.5,Associate's,Public,"16,637","$43,366 ","$10,890 ","$8,090 ","$16,180 ",92832-2095,33.875514,-117.918255,16490,21103
112385,20635,Coastline Community College,Fountain Valley,Orange,Orange,9,1.6,Associate's,Public,"7,007","$44,483 ","$12,007 ","$9,605 ","$19,210 ",92708-2597,33.716054,-117.928979,9820,14888
123341,1290,Sierra College,Rocklin,Placer,Sacramento-Tahoe,1,0.7,Associate's,Public,"13,455","$45,294 ","$12,818 ","$4,462 ","$8,924 ",95677-3397,38.790773,-121.211688,10546,16755
444219,38713,Folsom Lake College,Folsom,Sacramento,Sacramento-Tahoe,2,0.7,Associate's,Public,"8,937","$42,568 ","$10,092 ","$3,661 ","$7,322 ",95630,38.661372,-121.127486,9711,13924
122180,1233,Sacramento City College,Sacramento,Sacramento,Sacramento-Tahoe,3,0.8,Associate's,Public,"16,952","$42,214 ","$9,738 ","$3,974 ","$7,948 ",95822-1386,38.541096,-121.491139,20013,25235
113096,7536,Cosumnes River College,Sacramento,Sacramento,Sacramento-Tahoe,4,0.9,Associate's,Public,"13,527","$42,446 ","$9,970 ","$4,648 ","$9,296 ",95823-5799,38.45295,-121.423108,15818,19766
