UNITID,OPEID6,Institution,City,County,Region,Regional Rank,ROI: Years to Recoup Net Costs,Predominant Award,Sector,Undergraduate Degree-seeking students,Median Earnings 10 Years After Enrollment,Earnings Above High School Graduate,Annual Net Price,Total Net Price (Two Years),ZIP,Latitude,Longitude,VALUE,DENOM,COUNTYFIP,median_earnings_10yr,total_net_price,N_unweighted_x,weight_sum_x,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change,hs_median_income,N_unweighted_y,weight_sum_y
125028,1334,Ventura College,Ventura,Ventura,Central Coast,3,0.4,Associate's,Public,9971,43430,"$10,954 ",2257,4514,93003-3872,34.277393,-119.230604,10284.0,14146.0,111,43430,4514,1070.0,24640.0,10954.0,15292.0,0.41208690889172905,0.2951870258958933,19,21,-2,28138.0,1070.0,24640.0
108807,1111,Allan Hancock College,Santa Maria,Santa Barbara,Central Coast,5,0.9,Associate's,Public,7812,42786,"$10,310 ",4638,9276,93454-6399,34.943716,-120.421144,8440.0,10736.0,83,42786,9276,477.0,9814.0,10310.0,21548.0,0.8997090203685743,0.4304807870800074,43,34,9,21238.0,477.0,9814.0
122889,1285,Santa Barbara City College,Santa Barbara,Santa Barbara,Central Coast,6,1.3,Associate's,Public,10070,47647,"$15,171 ",10029,20058,93109-2394,34.406788,-119.698045,10983.0,17813.0,83,47647,20058,477.0,9814.0,15171.0,26409.0,1.3221277437215742,0.7595138021129161,59,64,-5,21238.0,477.0,9814.0
113193,1192,Cuesta College,San Luis Obispo,San Luis Obispo,Central Coast,7,1.9,Certificate,Public,6879,46047,"$13,571 ",12898,25796,93403-8106,35.331276,-120.742235,5349.0,9254.0,79,46047,25796,295.0,7081.0,13571.0,17933.0,1.9008179205659126,1.4384653989851113,74,92,-18,28114.0,295.0,7081.0
110334,1124,Cabrillo College,Aptos,Santa Cruz,Central Coast,8,2.3,Associate's,Public,7404,44114,"$11,638 ",13328,26656,95003,36.989448,-121.924797,6107.0,10103.0,87,44114,26656,222.0,4756.0,11638.0,14959.0,2.2904279085753565,1.7819372952737482,85,100,-15,29155.0,222.0,4756.0
417123,30847,Ventura Adult and Continuing Education,Ventura,Ventura,Central Coast,10,3.5,Certificate,Public,52,38232,"$5,756 ",9949,19898,93003-0000,34.256061,-119.219561,,,111,38232,19898,1070.0,24640.0,5756.0,10094.0,3.456914523974983,1.9712700614226273,97,105,-8,28138.0,1070.0,24640.0
115861,1214,Imperial Valley College,Imperial,Imperial,Imperial,1,1.7,Associate's,Public,6881,34487,"$2,011 ",1697,3394,92251-0158,32.827209,-115.503563,7840.0,9030.0,25,34487,3394,360.0,7798.0,2011.0,22688.0,1.687717553455992,0.14959449929478139,68,11,57,11799.0,360.0,7798.0
460394,41735,Moreno Valley College,Moreno Valley,Riverside,Inland Empire,1,0.2,Associate's,Public,8292,52133,"$19,657 ",1996,3992,92551,33.88744,-117.20271,10471.0,13155.0,65,52133,3992,3993.0,109837.0,19657.0,26176.0,0.2030828712417968,0.15250611246943765,12,12,0,25957.0,3993.0,109837.0
460464,41761,Norco College,Norco,Riverside,Inland Empire,2,0.3,Associate's,Public,8359,51206,"$18,730 ",2845,5690,92860,33.917387,-117.570212,10378.0,13442.0,65,51206,5690,3993.0,109837.0,18730.0,25249.0,0.30379071009076347,0.22535545962216325,15,18,-3,25957.0,3993.0,109837.0
121901,1270,Riverside City College,Riverside,Riverside,Inland Empire,3,0.9,Associate's,Public,17361,41091,"$8,615 ",4026,8052,92506,33.970918,-117.384323,20097.0,24974.0,65,41091,8052,3993.0,109837.0,8615.0,15134.0,0.934648868253047,0.5320470463856217,45,45,0,25957.0,3993.0,109837.0
111939,1163,Chaffey College,Rancho Cucamonga,San Bernardino,Inland Empire,4,1.1,Associate's,Public,13568,42975,"$10,499 ",5743,11486,91737-3002,34.147663,-117.573932,17257.0,23324.0,71,42975,11486,3595.0,103711.0,10499.0,18975.0,1.0940089532336412,0.6053227931488802,50,55,-5,24000.0,3595.0,103711.0
125091,1335,Victor Valley College,Victorville,San Bernardino,Inland Empire,5,1.8,Certificate,Public,12107,36119,"$3,643 ",3228,6456,92395-5850,34.472231,-117.261456,9382.0,14968.0,71,36119,6456,3595.0,103711.0,3643.0,12119.0,1.772165797419709,0.5327172208928129,70,46,24,24000.0,3595.0,103711.0
113111,9272,Crafton Hills College,Yucaipa,San Bernardino,Inland Empire,6,2.1,Associate's,Public,5074,42553,"$10,077 ",10655,21310,92339-1799,34.039178,-117.101173,4770.0,7016.0,71,42553,21310,3595.0,103711.0,10077.0,18553.0,2.114716681552049,1.1486013043712606,83,81,2,24000.0,3595.0,103711.0
